AÑO;MES;SECTOR;PAIS;FOB (MILES USD);TONELADAS
2017;1;ACUACULTURA;ALBANIA;384.6198;65.78
2017;1;ACUACULTURA;ALEMANIA;2081.33714;203.3293
2017;1;ACUACULTURA;ARABIA SAUDITA;498.39136;40.6728
2017;1;ACUACULTURA;ARGENTINA;42.3284;4
2017;1;ACUACULTURA;BÉLGICA;1718.90932;190.0052
2017;1;ACUACULTURA;CANADÁ;642.1204;83.63532
2017;1;ACUACULTURA;CHILE;850.71788;103.37015
2017;1;ACUACULTURA;CHINA;6607.93897;921.0992
2017;1;ACUACULTURA;CHIPRE;59.529;8.94
2017;1;ACUACULTURA;COLOMBIA;2811.78743;402.92058
2017;1;ACUACULTURA;COREA DEL SUR;3419.86933;443.496
2017;1;ACUACULTURA;COSTA RICA;116.49441;17.088
2017;1;ACUACULTURA;ESPAÑA;12355.19296;1878.2678
2017;1;ACUACULTURA;ESTADOS UNIDOS;39805.63305;5359.272197
2017;1;ACUACULTURA;FRANCIA;17364.90926;2630.54374
2017;1;ACUACULTURA;GRECIA;1445.85819;217.7756
2017;1;ACUACULTURA;GUATEMALA;589.71016;69.45683
2017;1;ACUACULTURA;HONG KONG;144.812;25.9
2017;1;ACUACULTURA;ITALIA;12332.85372;1730.57497
2017;1;ACUACULTURA;JAPÓN;430.85959;40.7192
2017;1;ACUACULTURA;LÍBANO;136.8288;20.16
2017;1;ACUACULTURA;MARRUECOS;94.88156;23.5
2017;1;ACUACULTURA;NAMIBIA;282.744;44.352
2017;1;ACUACULTURA;PAÍSES BAJOS;1976.75562;163.5316
2017;1;ACUACULTURA;PANAMÁ;1.34462;0.10896
2017;1;ACUACULTURA;PERÚ;727.1923;11.6234
2017;1;ACUACULTURA;POLONIA;170.382;24
2017;1;ACUACULTURA;PORTUGAL;414.5532;55.44
2017;1;ACUACULTURA;REINO UNIDO;1726.77842;205.0644
2017;1;ACUACULTURA;RUSIA;2474.78969;350.2
2017;1;ACUACULTURA;SUDÁFRICA;204.3048;43.296
2017;1;ACUACULTURA;URUGUAY;140.8822;20.2
2017;1;ACUACULTURA;VIETNAM;95635.64004;15076.85469
2017;1;AGROINDUSTRIA;ALEMANIA;897.31633;653.651695
2017;1;AGROINDUSTRIA;ARABIA SAUDITA;195.3647;28.5
2017;1;AGROINDUSTRIA;ARGENTINA;170.43216;61.96
2017;1;AGROINDUSTRIA;AUSTRALIA;96.24;9.99
2017;1;AGROINDUSTRIA;BÉLGICA;370.31841;318.1776
2017;1;AGROINDUSTRIA;BOLIVIA;114.80434;72.61
2017;1;AGROINDUSTRIA;BRASIL;355.03602;117.553
2017;1;AGROINDUSTRIA;CANADÁ;250.54598;173.36091
2017;1;AGROINDUSTRIA;CHILE;1223.84411;868.958
2017;1;AGROINDUSTRIA;COLOMBIA;24875.76568;27501.67187
2017;1;AGROINDUSTRIA;CUBA;188.4448;146.88
2017;1;AGROINDUSTRIA;DINAMARCA;29.1067;19.9
2017;1;AGROINDUSTRIA;EMIRATOS ARABES UNIDOS;31.42435;20.94108
2017;1;AGROINDUSTRIA;ESPAÑA;263.39121;220.9298
2017;1;AGROINDUSTRIA;ESTADOS UNIDOS;5885.50816;4207.53651
2017;1;AGROINDUSTRIA;FINLANDIA;50.23932;41.842
2017;1;AGROINDUSTRIA;FRANCIA;240.54336;52.54484
2017;1;AGROINDUSTRIA;GUATEMALA;42.334;40.32
2017;1;AGROINDUSTRIA;ISRAEL;43.2;20
2017;1;AGROINDUSTRIA;ITALIA;105.06055;88.297
2017;1;AGROINDUSTRIA;JAPÓN;3896.50864;2268.447
